Data Format: ,,,,,,,,,,
19,10/28/2018 11:10,8.22,92.3,7.05,285,0.5,3.3,1004,251,4.56
20,10/28/2018 11:15,7.9,92.1,6.7,288,1.3,3.5,1004,169,4.56
21,10/28/2018 11:20,8.32,92.3,7.15,312,0.8,4,1004.1,191,4.56
22,10/28/2018 11:25,8.29,92,7.08,289,0.3,1.8,1004,174,4.56
23,10/28/2018 11:30,8.59,91.8,7.34,323,0.3,2,1004.1,254,4.56
24,10/28/2018 11:35,8.64,91.4,7.33,282,0.5,2.5,1004.1,172,4.56
25,10/28/2018 11:40,8.22,90.8,6.81,291,1.8,4.8,1004,299,4.56
26,10/28/2018 11:45,8.52,90.3,7.03,300,0.8,3.5,1003.9,269,4.57
27,10/28/2018 11:50,8.57,89.7,6.98,281,1.3,3,1003.9,223,4.57
28,10/28/2018 11:55,8.84,89.7,7.25,292,0.5,3.8,1003.8,217,4.57
29,10/28/2018 12:00,8.82,89.2,7.15,278,0.8,3.5,1003.8,204,4.56
30,10/28/2018 12:05,8.89,88.6,7.12,302,0.5,3.5,1003.8,173,4.56
31,10/28/2018 12:10,8.72,88.5,6.93,251,1,3,1003.5,173,4.57
32,10/28/2018 12:15,9.14,88.6,7.36,274,0.5,3,1003.7,168,4.57
33,10/28/2018 12:20,8.92,88.4,7.11,272,1,3.5,1003.5,164,4.57
34,10/28/2018 12:25,9.01,88.2,7.18,232,0.5,3.5,1003.6,139,4.57
35,10/28/2018 12:30,8.89,88.3,7.07,261,1,3,1003.4,121,4.57
36,10/28/2018 12:35,8.97,88.5,7.18,261,0.8,3.5,1003.5,126,4.57
37,10/28/2018 12:40,9.11,88.6,7.34,268,1,3.8,1003.5,132,4.57
38,10/28/2018 12:45,9.34,88.5,7.54,223,0.5,2.3,1003.5,111,4.57
39,10/28/2018 12:50,9.51,88.3,7.68,194,0,2,1003.4,118,4.57
40,10/28/2018 12:55,9.56,88.1,7.7,209,0,0.5,1003.5,124,4.57
41,10/28/2018 13:00,9.36,87.9,7.47,241,0.3,2.3,1003.6,123,4.56
42,10/28/2018 13:05,9.44,87.9,7.54,257,0,1.3,1003.6,121,4.57
43,10/28/2018 13:10,9.41,87.7,7.48,216,0.5,3.3,1003.5,107,4.57
44,10/28/2018 13:15,9.24,87.5,7.28,234,1.5,3.3,1003.5,114,4.57
45,10/28/2018 13:20,9.53,88,7.66,246,0.5,2.8,1003.5,121,4.58
46,10/28/2018 13:25,9.46,87.5,7.5,272,1,3.5,1003.4,113,4.58
47,10/28/2018 13:30,9.61,87.3,7.61,254,0.3,2,1003.5,118,4.58
48,10/28/2018 13:35,9.98,87.1,7.94,236,0,1.3,1003.3,164,4.58
49,10/28/2018 13:40,10.17,86.5,8.03,211,0,1.8,1003.4,179,4.61
50,10/28/2018 13:45,10.12,86.5,7.98,227,0.3,1.8,1003.3,137,4.6
51,10/28/2018 13:50,10.91,86.4,8.74,233,0,1,1003.3,209,4.59
52,10/28/2018 13:55,10.76,85.3,8.4,298,0,1.5,1003.3,216,4.61
53,10/28/2018 14:00,10.57,84.9,8.14,239,0.3,2.3,1003.3,138,4.56
54,10/28/2018 14:05,10.61,85.4,8.28,229,0,1.8,1003.2,153,4.57
55,10/28/2018 14:10,10.69,85.5,8.37,254,0.3,2.5,1003.1,122,4.57
56,10/28/2018 14:15,10.88,85.2,8.51,263,0,0.5,1003.2,109,4.58
57,10/28/2018 14:20,10.76,84.9,8.34,260,0,1,1003.2,128,4.59
58,10/28/2018 14:25,11.1,84.7,8.64,253,0,1,1003.3,123,4.59
59,10/28/2018 14:30,11.37,84.3,8.83,261,0,0.5,1003.2,157,4.59
60,10/28/2018 14:35,11.37,83.7,8.72,181,0,0.3,1003.3,139,4.59
61,10/28/2018 14:40,11.18,83.5,8.5,227,0.3,2,1003.3,109,4.59
62,10/28/2018 14:45,11.15,83.2,8.42,274,0.3,1.8,1003.3,99,4.59
63,10/28/2018 14:50,11.22,82.8,8.42,258,0.3,1.8,1003.3,143,4.59
64,10/28/2018 14:55,11.3,82.6,8.46,261,0,1.5,1003.3,133,4.59
65,10/28/2018 15:00,11.37,82.3,8.47,271,0.3,2.3,1003.3,104,4.56
66,10/28/2018 15:05,11.47,81.7,8.46,229,0.3,2,1003.5,96,4.57
67,10/28/2018 15:10,11.71,81.9,8.73,246,0,1.5,1003.4,107,4.57
68,10/28/2018 15:15,11.78,81.5,8.73,251,0,0.5,1003.5,102,4.58
69,10/28/2018 15:20,11.59,81.1,8.47,188,0,1.5,1003.4,73,4.59
70,10/28/2018 15:25,11.71,81.1,8.59,226,0,0.8,1003.4,66,4.59
71,10/28/2018 15:30,11.78,80.9,8.62,265,0.3,2.3,1003.3,71,4.59
72,10/28/2018 15:35,11.56,80.8,8.39,321,0.3,2.8,1003.4,53,4.59
73,10/28/2018 15:40,11.42,81.1,8.3,302,0.8,3.8,1003.3,52,4.59
74,10/28/2018 15:45,11.37,81.9,8.4,326,0.8,3.3,1003.4,59,4.59
75,10/28/2018 15:50,11.39,81.8,8.41,305,0.8,3,1003.4,61,4.59
76,10/28/2018 15:55,11.39,81.7,8.39,295,0.3,2.8,1003.4,69,4.59
77,10/28/2018 16:00,11.37,80.7,8.18,305,0.5,2.8,1003.5,61,4.56
78,10/28/2018 16:05,11.42,80.5,8.19,316,0.5,2,1003.5,56,4.57
79,10/28/2018 16:10,11.32,80.1,8.03,285,0.3,2,1003.7,41,4.57
80,10/28/2018 16:15,11.2,80.1,7.91,295,0.5,2.3,1003.7,32,4.58
81,10/28/2018 16:20,11.15,80.3,7.9,317,0.5,3,1003.7,31,4.59
82,10/28/2018 16:25,11.2,79.9,7.87,324,0.8,3.3,1003.8,31,4.59
83,10/28/2018 16:30,11.27,79.7,7.91,314,0.5,2.5,1003.6,41,4.59
84,10/28/2018 16:35,11.22,79.1,7.75,292,0.8,3,1003.6,39,4.59
85,10/28/2018 16:40,11.27,79,7.78,289,0,1.3,1003.7,27,4.59
86,10/28/2018 16:45,11.25,79.1,7.77,306,0.5,2.5,1003.7,27,4.59
87,10/28/2018 16:50,11.1,79.2,7.65,291,0.8,3.3,1003.7,19,4.59
88,10/28/2018 16:55,11.05,79.5,7.66,303,0.8,2.8,1003.8,11,4.57
89,10/28/2018 17:00,11.08,79.6,7.7,295,0.3,2.3,1003.8,9,4.53
90,10/28/2018 17:05,11.1,79.5,7.7,300,0.5,1.8,1003.9,7,4.51
91,10/28/2018 17:10,11.1,79.1,7.63,309,0.8,2.8,1004,6,4.51
92,10/28/2018 17:15,11.03,78.8,7.5,309,1,3,1003.8,7,4.51
